ID	Bschool	 BSchoolA	BSchoolB	BSchoolC	BSchoolD	GPA	GMAT	CollegeMajor	CollegeMajor1	CollegeMajor2	CollegeMajor3	CollegeMajor4	Gender	YearsofExperience
1	3	0	0	1	0	3.60	650	1	1	0	0	0	2	3
2	3	0	0	1	0	3.70	680	3	0	0	1	0	1	2
3	4	0	0	0	1	3.80	710	1	1	0	0	0	1	2
4	4	0	0	0	1	3.70	720	1	1	0	0	0	2	6
5	2	0	1	0	0	3.90	680	1	1	0	0	0	1	4
6	4	0	0	0	1	3.80	680	4	0	0	0	1	1	3
7	4	0	0	0	1	3.80	670	1	1	0	0	0	2	2
8	1	1	0	0	0	3.90	660	1	1	0	0	0	2	2
9	2	0	1	0	0	3.70	690	1	1	0	0	0	1	2
10	4	0	0	0	1	3.30	650	2	0	1	0	0	1	4
11	4	0	0	0	1	3.70	690	3	0	0	1	0	1	2
12	3	0	0	1	0	3.90	610	1	1	0	0	0	1	2
13	2	0	1	0	0	3.90	670	2	0	1	0	0	1	3
14	2	0	1	0	0	3.40	610	3	0	0	1	0	2	3
15	2	0	1	0	0	3.80	660	3	0	0	1	0	1	3
16	2	0	1	0	0	4.00	670	2	0	1	0	0	2	4
17	1	1	0	0	0	3.60	630	3	0	0	1	0	1	5
18	1	1	0	0	0	4.00	710	3	0	0	1	0	1	2
19	4	0	0	0	1	4.00	680	4	0	0	0	1	2	2
20	3	0	0	1	0	3.80	700	4	0	0	0	1	1	2
21	2	0	1	0	0	3.80	650	3	0	0	1	0	1	2
22	2	0	1	0	0	3.50	640	2	0	1	0	0	1	2
23	3	0	0	1	0	3.60	640	1	1	0	0	0	2	4
24	2	0	1	0	0	3.90	670	3	0	0	1	0	1	2
25	2	0	1	0	0	3.60	630	4	0	0	0	1	1	4
26	1	1	0	0	0	3.80	650	3	0	0	1	0	1	3
27	3	0	0	1	0	3.80	660	1	1	0	0	0	2	3
28	4	0	0	0	1	4.00	720	2	0	1	0	0	1	2
29	2	0	1	0	0	4.00	700	2	0	1	0	0	2	6
30	2	0	1	0	0	3.90	670	2	0	1	0	0	1	4
31	1	1	0	0	0	4.00	670	4	0	0	0	1	1	2
32	2	0	1	0	0	3.70	690	2	0	1	0	0	1	2
33	1	1	0	0	0	3.60	630	1	1	0	0	0	2	2
34	1	1	0	0	0	3.90	700	3	0	0	1	0	2	2
35	3	0	0	1	0	3.50	640	1	1	0	0	0	1	2
36	3	0	0	1	0	3.80	650	3	0	0	1	0	2	2
37	3	0	0	1	0	3.40	640	4	0	0	0	1	1	2
38	2	0	1	0	0	3.70	690	2	0	1	0	0	1	5
39	3	0	0	1	0	3.90	620	4	0	0	0	1	1	3
40	4	0	0	0	1	3.70	700	2	0	1	0	0	2	2
41	1	1	0	0	0	3.80	670	1	1	0	0	0	1	2
42	1	1	0	0	0	4.00	720	1	1	0	0	0	1	2
43	1	1	0	0	0	3.50	620	1	1	0	0	0	1	2
44	4	0	0	0	1	4.00	710	1	1	0	0	0	2	2
45	4	0	0	0	1	3.70	670	3	0	0	1	0	1	2
46	4	0	0	0	1	3.70	680	2	0	1	0	0	2	2
