Income	family_size	age_of_household_head	type_of_vehicle_owned
54.9	5	46	2
57.4	3	46	0
70.6	5	40	2
59.7	2	60	0
56.1	2	67	2
43.7	4	30	1
46.8	3	25	0
58.3	6	50	2
40.4	4	28	0
67.1	7	49	2
58.4	5	45	2
51	7	51	2
53.8	4	48	2
52.8	7	45	1
39.6	6	32	1
41	3	43	0
71.5	2	69	0
40.5	8	31	0
37.6	5	33	0
46	4	50	2
35.4	2	20	0
62.6	3	56	0
44.1	2	70	1
39.8	5	26	1
64.5	2	56	0
46.7	5	35	0
58.8	4	51	0
45.4	5	40	1
46.2	6	36	2
42.2	6	30	1
48.4	4	30	1
50	5	42	1
66.2	3	61	2
45	7	35	1
47.7	6	35	1
67.4	4	57	2
